"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGIKEY";"MANUFACTURER";"MF";"MOUSER";"MPN";"NEWARK";"OC_FARNELL";"OC_NEWARK";"RICHARDSON_RFPD";
"1";"";"INDUCTOR0402";"0402_CAP";"L3";"";"";"445-2979-1-ND";"";"";"";"";"";"";"";"";
"4";"0.1uF";"CAPACITOR";"0402_CAP";"C10, C11, C12, C13";"0402 Capacitor";"CAP CER 0.1UF 10V X5R 0402";"490-1318-1-ND";"Murata";"";"";"GRM155R61A104KA01D";"";"";"";"";
"1";"0.8pF";"CAPACITOR";"0402_CAP";"C1";"0402 Capacitor";"CAP CER 0.8PF 50V C0G/NP0 0402";"490-6269-1-ND";"Murata";"";"";"GRM1555C1HR80BA01D";"";"";"";"";
"1";"10uH";"INDUCTOR0603";"0603_CAP";"L2";"";"FIXED IND 10UH 50MA 900 MOHM SMD";"490-4025-1-ND";"Murata";"";"";"LQM18FN100M00D";"";"";"";"";
"1";"12k";"RESISTOR";"0402_RES";"R4";"Resistor";"RES SMD 12K OHM 1% 1/16W 0402";"1276-4122-1-ND";"Samsung";"";"";"RC1005F123CS";"";"";"";"";
"4";"12pF";"CAPACITOR";"0402_CAP";"C2, C3, C4, C5";"0402 Capacitor";"CAP CER 12PF 50V C0G/NP0 0402";"490-6197-1-ND";"Murata";"";"";"GRM1555C1H120GA01D";"";"";"";"";
"2";"150";"RESISTOR";"0402_RES";"R1, R2";"Resistor";"RES SMD 150 OHM 1% 1/16W 0402";"RHM150CDCT-ND";"Rohm";"";"";"MCR01MRTF1500";"";"";"";"";
"1";"15nH";"INDUCTOR0402";"0402_CAP";"L1";"";"FIXED IND 15NH 320MA 460 MOHM";"587-1521-1-ND";"Taiyo Yuden";"";"";"HK100515NJ-T";"";"";"";"";
"1";"16MHz";"TXC-8Y";"TXC-8Y";"X1";"2mmx1.6mm SMD Crystal";"CRYSTAL 16.0000MHZ 8PF SMD";"887-2003-1-ND";"TXC";"";"";"8Y-16.000MAAV-T";"";"";"";"";
"1";"1k";"RESISTOR";"0402_RES";"R3";"Resistor";"RES SMD 1K OHM 5% 1/16W 0402";"1276-4376-1-ND";"Samsung";"";"";"RC1005J102CS";"";"";"";"";
"2";"1nF";"CAPACITOR";"0402_CAP";"C6, C7";"0402 Capacitor";"CAP CER 1000PF 50V X7R 0402";"490-1303-1-ND";"Murata";"";"";"GRM155R71H102KA01D";"";"";"";"";
"1";"1uF";"CAPACITOR";"0402_CAP";"C14";"0402 Capacitor";"1µF ±10% 6.3V Ceramic Capacitor X7R 0402 (1005 Metric)";"1276-1513-1-ND";"Samsung";"";"";"CL05B105KQ5NQNC";"";"";"";"";
"1";"2.2nF";"CAPACITOR";"0402_CAP";"C8";"0402 Capacitor";"CAP CER 2200PF 25V 10% X7R 0402";"490-5419-1-ND";"Murata";"";"";"GRM155R71E222KA01D";"";"";"";"";
"1";"4.7uF";"CAPACITOR";"0402_CAP";"C15";"0402 Capacitor";"CAP CER 4.7UF 6.3V X5R 0402";"445-5947-1-ND";"TDK";"";"";"C1005X5R0J475K050BC";"";"";"";"";
"1";"47nF";"CAPACITOR";"0402_CAP";"C9";"0402 Capacitor";"CAP CER 0.047UF 16V X7R 0402";"445-1264-1-ND";"TDK";"";"";"C1005X7R1C473K050BC";"";"";"";"";
"1";"ABS05-32.768KHZ-9-T";"ABS05-32.768KHZ-9-T";"ABS05";"X2";"32.768kHz Crystal";"";"535-11897-1-ND";"";"";"";"";"";"";"";"";
"1";"B3U-3000P-B";"B3U-3000P-B";"B3U-3000P-B";"S1";"";"";"SW1256CT-ND";"";"";"";"";"";"";"";"";
"1";"BAL-NRF01D3";"BAL-NRF01D3";"BAL-NRF01D3";"B1";"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,";"";"497-13637-1-ND";"";"";"511-BAL-NRF01D3";"";"";"";"";"";
"1";"BAT-HLD-002-THM";"BAT-HLD-002-THM";"BAT-HLD-002-THM";"BAT1";"RETAINER BATT CR2016 PC PINS";"";"BAT-HLD-002-THM-ND";"";"";"712-BAT-HLD-002-THM";"";"";"";"";"";
"1";"BLUE";"LED0603";"LED-0603";"D1";"LEDs";"";"";"";"";"";"";"";"";"";"";
"1";"DIODE";"DIODE";"0402_DIODE";"D2";"";"DIODE SCHOTTKY 30V 0.1A 0402";"641-1271-1-ND";"Comchip";"";"750-CDBQR0130L";"CDBQR0130L";"";"";"";"";
"1";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-2.4GHZ-FR05-S1-N-0-102";"FRACTUS-ANTENNA-FR05-S1-N-0-102";"A1";"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,";"";"";"";"";"";"";"";"";"";"FR05-S1-N-0102B";
"1";"FT232RQ";"FT232RQ";"QFN32";"U2";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";"";"";"";"";"FT232RQ";"";"1146033";"91K9919";"";
"2";"HIROSE-DF40C-10DP-0.4V";"HIROSE-DF40C-10DP-0.4V";"2X5/SMD/0.4MM";"J1, J2";"DF40 Series Header - 0.4MM Pitch";"";"H11616CT-ND";"";"";"798-DF40C10DP0.4V51";"";"68X2585";"";"";"";
"1";"MICRO_USB_B_JST_MC5BR3-M404-4S";"MICRO_USB_B_JST_MC5BR3-M404-4S";"USB_MICRO_B-JST-MC5BR3-M404-4S-TB";"J3";"Micro USB B mid mount";"";"455-2567-2-ND";"";"";"53X3655";"";"";"";"";"";
"1";"ML-2020/H1C";"ML-2020/H1C";"ML-2020/H1C";"BAT2";"BATT LITH COIN 3V RECHARGE PINS 45mAh";"";"P047-ND";"";"";"658-ML-2020/H1CN";"";"";"";"";"";
"1";"NRF51822QF";"NRF51822QF";"QFN-48-6MM";"U1";"Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC";"";"1490-1032-1-ND";"";"";"949-NRF51822-QFAB-R7";"";"";"";"";"";
